id,reference,name,brand_id,brand_name,gender,description,price,image_url,is_available,created_at,updated_at
384,1101,Loverdose,95,Diesel,Women,,,photos/Fragrances/loverdose.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:46.670671+00
385,1102,Redkiss,95,Diesel,Women,,,photos/Fragrances/redkiss.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:46.760783+00
386,1103,Marc Jacobs Decadence,96,Marc Jacobs,Women,,,photos/Fragrances/Marc Jacobs Perfect Intense.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:46.834611+00
387,1104,Marc Jacobs Perfect,96,Marc Jacobs,Women,,,photos/Fragrances/Marc Jacobs Perfect Intense.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:46.920639+00
388,1105,Helena,,,Women,,,photos/Fragrances/helena.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:46.995879+00
389,1106,Choo,97,Jimmy Choo,Women,,,photos/Fragrances/jimmy choo.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:47.070623+00
390,1107,5Th Avenue,98,Elisabeth Arden,Women,,,photos/Fragrances/5th avenue.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:47.151038+00
391,1108,Eau Des Bienfaits,99,Roger Gallet,Women,,,photos/Fragrances/Chance Eau Tendre.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:47.241067+00
392,1109,Incidence,100,Yves De Sistelle,Women,,,photos/Fragrances/Incidence.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:47.316566+00
393,1110,Bulgari Jasmine Noir,101,Bvlgari,Women,,,photos/Fragrances/Bulgari Jasmine Noir.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:47.403459+00
394,1111,Marc Jacobs Perfect Intense,96,Marc Jacobs,Women,,,photos/Fragrances/Marc Jacobs Perfect Intense.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:47.475038+00
395,1201,Melle Eau Tres Belle,102,Azzaro,Women,,,photos/Fragrances/Coco Melle.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:47.557311+00
396,1202,Elle,102,Azzaro,Women,,,photos/Fragrances/Ambre Eternelle.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:47.640308+00
397,1204,1881,103,Cerruti,Women,,,photos/Fragrances/1881 for men.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:47.747304+00
398,1205,Crème Brûlée,,,Women,,,,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:30:34.629006+00
399,1206,Love,104,Killian,Women,,,photos/Fragrances/V valentino.avif,true,2025-09-18 18:30:34.629006+00,2025-10-14 23:11:55.99282+00
400,1207,Paradox,105,Prada,Women,,,photos/Fragrances/Paradox Intens.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:47.924281+00
401,1208,Sugar,105,Prada,Women,,,photos/Fragrances/Sugar prada.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:48.028131+00
402,1209,Femme,105,Prada,Women,,,photos/Fragrances/prada femme.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:48.13859+00
403,1210,Paradox Intense,105,Prada,Women,,,photos/Fragrances/Paradox Intens.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:48.228564+00
404,1211,Good Girl Gone Bad,104,Killian,Women,,,photos/Fragrances/Good Girl Gone Bad.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:48.315524+00
405,1212,Sun Kissed Goddess,104,Killian,Women,,,photos/Fragrances/Melody Of The Sun.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:48.727017+00
406,1301,Winter,106,Zara,Women,,,photos/Fragrances/Winter zara.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:48.821295+00
407,1302,Nudes Bouquet,106,Zara,Women,,,photos/Fragrances/Nudes Bouquet.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:48.942494+00
408,1303,Orchid,106,Zara,Women,,,photos/Fragrances/Black Orchid.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:49.04103+00
409,1304,Rose,106,Zara,Women,,,photos/Fragrances/212 Vip Rose Smily.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:49.115883+00
410,1305,Black Amber,106,Zara,Women,,,photos/Fragrances/Black Afgano.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:49.227561+00
411,1306,Fruity,106,Zara,Women,,,,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:30:34.629006+00
412,1307,Wonder Rose,106,Zara,Women,,,photos/Fragrances/Wonder Rose zara.avif,true,2025-09-18 18:30:34.629006+00,2025-09-18 18:33:49.328317+00
